path,function,line,end_line,async_func,remote_flow_hits,debt_check_hits,write_flow_hits,category,first_remote_context,first_debt_context
phone_barrier_access_core.py,activate_phone_access_subscription_for_order,1973,2162,False,1,0,5,REMOTE_FLOW_NO_DEBT_WORDS,"1988: from service_orders_core import confirm_order_step, get_service_order",
run_bot_guard_sandbox.py,table_rows,98,125,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"106: ""remote_requests"",",
run_bot_guard_sandbox_v2.py,table_rows,98,125,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"106: ""remote_requests"",",
run_bot_guard_sandbox_v3.py,table_rows,98,125,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"106: ""remote_requests"",",
run_bot_live_service_sandbox_v4.py,table_rows,92,122,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"98: ""service_orders"",",
run_bot_live_service_sandbox_v4.py,required_files,125,135,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"134: BOTS / ""handlers"" / ""service_orders_workspace.py"",",
run_bot_live_service_sandbox_v4.py,patched_source,138,158,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"146: ""Сначала выполните install_service_orders_ui.py --apply.""",
run_bot_live_service_sandbox_v4.py,run_bot,161,188,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"167: ""service_orders_core"",",
run_bot_live_services_sandbox_v1.py,ensure_sandbox_service_access,161,371,False,8,0,3,REMOTE_FLOW_NO_DEBT_WORDS,"202: (""service_orders"", ""VIEW"", ""REMOTE""),",
run_bot_live_services_sandbox_v1.py,assert_workspace_is_compatible,373,400,False,3,0,1,REMOTE_FLOW_NO_DEBT_WORDS,"389: ""NEW_REMOTE_PROFILE"",",
run_bot_live_services_sandbox_v1.py,purge_project_modules,402,424,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"409: ""service_orders_core"",",
run_bot_live_services_sandbox_v1.py,live_service_preflight,722,801,False,4,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"729: ""service_orders"",",
run_bot_live_services_sandbox_v1.py,main,837,906,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"879: print(""  - service_orders workspace: simplified paid-preorder workflow verified"")",
service_orders_core.py,required_tables,147,162,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"153: ""service_orders"",",
service_orders_core.py,_next_order_number,312,332,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,317: FROM service_orders,
service_orders_core.py,_audit_order,366,390,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"382: table_name=""service_orders"",",
service_orders_core.py,_derive_status,406,448,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"445: return ""READY_FOR_ISSUE"", payment_status, ""READY_FOR_HANDOVER""",
service_orders_core.py,recompute_order_status,451,477,False,1,0,1,REMOTE_FLOW_NO_DEBT_WORDS,460: UPDATE service_orders,
service_orders_core.py,get_service_order,480,492,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"486: ""SELECT * FROM service_orders WHERE id = ?"",",
service_orders_core.py,service_order_summary,1365,1408,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1398: FROM remote_order_details,
service_preorders_core.py,simplified_tables,94,100,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"96: ""service_order_interests"",",
service_preorders_core.py,_ensure_new_remote_preorder_profile,247,328,False,11,0,1,REMOTE_FLOW_NO_DEBT_WORDS,247: def _ensure_new_remote_preorder_profile(cur: sqlite3.Cursor) -> list[str]:,
service_preorders_core.py,get_service_interest,475,486,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"480: row = _dict(cur, ""SELECT * FROM service_order_interests WHERE id = ?"", (int(interest_id),))",
service_preorders_core.py,list_resident_service_interests,489,507,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,498: FROM service_order_interests,
service_preorders_core.py,attach_payment_notice_to_interest,528,568,False,2,0,3,REMOTE_FLOW_NO_DEBT_WORDS,528: def attach_payment_notice_to_interest(,
service_preorders_core.py,supplier_demand,753,788,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,766: FROM service_orders o,
service_preorders_core.py,create_supplier_batch,791,886,False,2,0,3,REMOTE_FLOW_NO_DEBT_WORDS,809: FROM service_orders o,
service_preorders_core.py,get_supplier_batch,909,932,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,923: JOIN service_orders o ON o.id = l.service_order_id,
service_preorders_core.py,receive_supplier_batch,935,1018,False,1,0,3,REMOTE_FLOW_NO_DEBT_WORDS,"1001: step_code=""SUPPLIER_BATCH_RECEIVED"",",
service_preorders_core.py,issue_new_remotes_from_batch,1045,1154,False,3,0,8,REMOTE_FLOW_NO_DEBT_WORDS,1045: def issue_new_remotes_from_batch(,
tools/project_passport_v3_classifier.py,main,388,626,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"589: for m in sorted([m for m in modules if ""remote"" in m.themes or ""service_orders"" in m.themes or ""access_control"" in m.themes], key=lambda x: x.path):",
tools/remote_debt_gate_audit.py,selected_files,226,264,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"231: ""service_orders_core.py"",",
