entrance;apartment;charge_id;vehicle_id;service;service_item;period;plate;model;parking_time;charge_amount;paid_amount;balance_amount;overpaid_amount;payment_status;apt_charge_count;same_service_charge_count;sibling_vehicles;flags;hint
3;155;49;83;PARKING_DAY;;2026-05_2026-06;AA7020;LEXUS;Day;400.0;0.0;400.0;0.0;UNPAID;3;3;"charge=48 vehicle=82 KA9151 rest=400; charge=50 vehicle=84 KA1175 rest=400";;
3;155;50;84;PARKING_DAY;;2026-05_2026-06;KA1175;TOYOTA;Day;400.0;0.0;400.0;0.0;UNPAID;3;3;"charge=48 vehicle=82 KA9151 rest=400; charge=49 vehicle=83 AA7020 rest=400";;
3;158;51;86;PARKING_NIGHT;;2026-05_2026-06;AA5566CO;AUDI;Night;1000.0;1000.0;0.0;0.0;PAID;1;1;;;
4;159;52;87;PARKING_NIGHT;;2026-05_2026-06;KA5689BB;LEXUS;Night;1000.0;1500.0;-500.0;500.0;OVERPAID;1;1;;OVERPAID_NO_SIBLING_UNDERPAID;Переплата есть, но второй недоплаченной машины той же квартиры/услуги не найдено
4;160;53;88;PARKING_NIGHT;;2026-05_2026-06;KA7030TH;LEXUS;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
4;161;54;89;PARKING_NIGHT;;2026-05_2026-06;AA5003MX;LEXUS;Night;1000.0;500.0;500.0;0.0;PARTIAL;2;2;charge=55 vehicle=90 AA9868KC rest=500;PARTIAL_MULTI_VEHICLE_APT;Недоплата при нескольких начислениях квартиры: проверить распределение между авто
4;161;55;90;PARKING_NIGHT;;2026-05_2026-06;AA9868KC;AUDI;Night;1000.0;500.0;500.0;0.0;PARTIAL;2;2;charge=54 vehicle=89 AA5003MX rest=500;PARTIAL_MULTI_VEHICLE_APT;Недоплата при нескольких начислениях квартиры: проверить распределение между авто
4;162;56;91;PARKING_DAY;;2026-05_2026-06;AA5557TE;MERCEDES;Day;400.0;1200.0;-800.0;800.0;OVERPAID;1;1;;OVERPAID_NO_SIBLING_UNDERPAID;Переплата есть, но второй недоплаченной машины той же квартиры/услуги не найдено
4;167;57;92;PARKING_NIGHT;;2026-05_2026-06;AA4477OH;TOYOTA;Night;1000.0;700.0;300.0;0.0;PARTIAL;1;1;;PARTIAL_SINGLE_CHARGE;"Оплата меньше начисления; простой пары внутри квартиры не видно"
4;169;58;93;PARKING_NIGHT;;2026-05_2026-06;KA1784EA;MERCEDES;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
4;171;59;94;PARKING_NIGHT;;2026-05_2026-06;KA5524KA;MAZDA;Night;1000.0;1000.0;0.0;0.0;PAID;1;1;;;
4;173;60;95;PARKING_DAY;;2026-05_2026-06;AA9415YC;TESLA;Day;400.0;0.0;400.0;0.0;UNPAID;3;3;"charge=61 vehicle=96 KA1188BK rest=400; charge=62 vehicle=97 KA2729CH rest=400";;
4;173;61;96;PARKING_DAY;;2026-05_2026-06;KA1188BK;BMW;Day;400.0;0.0;400.0;0.0;UNPAID;3;3;"charge=60 vehicle=95 AA9415YC rest=400; charge=62 vehicle=97 KA2729CH rest=400";;
4;173;62;97;PARKING_DAY;;2026-05_2026-06;KA2729CH;JAGUAR;Day;400.0;0.0;400.0;0.0;UNPAID;3;3;"charge=60 vehicle=95 AA9415YC rest=400; charge=61 vehicle=96 KA1188BK rest=400";;
4;174;63;98;PARKING_DAY;;2026-05_2026-06;AA8787BC;VOLVO;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
5;176;64;99;PARKING_NIGHT;;2026-05_2026-06;AA1234BT;BMW;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
5;180;65;100;PARKING_NIGHT;;2026-05_2026-06;AA5993TH;BMW;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;1;charge=66 vehicle=101 AA9489XK rest=400;;
5;180;66;101;PARKING_DAY;;2026-05_2026-06;AA9489XK;VOLKSWAGEN;Day;400.0;0.0;400.0;0.0;UNPAID;2;1;charge=65 vehicle=100 AA5993TH rest=1000;;
5;181;67;102;PARKING_DAY;;2026-05_2026-06;BO7254EM;VOLKSWAGEN;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
5;182;68;103;PARKING_NIGHT;;2026-05_2026-06;BO0125EX;BMW;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;2;charge=69 vehicle=104 BO8887BB rest=1000;;
5;182;69;104;PARKING_NIGHT;;2026-05_2026-06;BO8887BB;LAND ROVER;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;2;charge=68 vehicle=103 BO0125EX rest=1000;;
5;185;70;105;PARKING_DAY;;2026-05_2026-06;KI1302IH;KIA;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
5;186;71;106;PARKING_DAY;;2026-05_2026-06;AA5553EB;LEXUS;Day;400.0;0.0;400.0;0.0;UNPAID;2;1;charge=72 vehicle=107 AA5553P rest=1000;;
5;186;72;107;PARKING_NIGHT;;2026-05_2026-06;AA5553P;MERCEDES;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;1;charge=71 vehicle=106 AA5553EB rest=400;;
5;187;73;108;PARKING_DAY;;2026-05_2026-06;AA7007AO;MERCEDES;Day;400.0;0.0;400.0;0.0;UNPAID;2;1;charge=74 vehicle=109 AA7007OO rest=1000;;
5;187;74;109;PARKING_NIGHT;;2026-05_2026-06;AA7007OO;RANGE ROVER;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;1;charge=73 vehicle=108 AA7007AO rest=400;;
5;188;75;110;PARKING_DAY;;2026-05_2026-06;AI5568AC;;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
6;191;76;111;PARKING_DAY;;2026-05_2026-06;AA1677MA;MERCEDES;Day;400.0;0.0;400.0;0.0;UNPAID;3;2;"charge=77 vehicle=112 KA3326E rest=400; charge=78 vehicle=113 K5775AC rest=1000";;
6;191;77;112;PARKING_DAY;;2026-05_2026-06;KA3326E;BYD;Day;400.0;0.0;400.0;0.0;UNPAID;3;2;"charge=76 vehicle=111 AA1677MA rest=400; charge=78 vehicle=113 K5775AC rest=1000";;
6;191;78;113;PARKING_NIGHT;;2026-05_2026-06;K5775AC;MERCEDES;Night;1000.0;0.0;1000.0;0.0;UNPAID;3;1;"charge=76 vehicle=111 AA1677MA rest=400; charge=77 vehicle=112 KA3326E rest=400";;
6;194;79;114;PARKING_NIGHT;;2026-05_2026-06;AA5551IH;MERCEDES;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;1;charge=80 vehicle=115 KA8848AO rest=400;;
